Survey,n,FWHM,pixscale,Re_intrinsic_arcsec,Re_over_FWHM,R50_obs,R50_intr,rP_obs,rP_intr,rP50_obs,rP50_intr,rP90_obs,rP90_intr
SDSS r,4,1.3,0.396,2.9239640215699625,2.2492030935153555,2.458659315200455,2.3410887675143637,5.3956278745641315,,2.183120116077601,2.020245608124328,7.344139316539271,7.071872217927087
SDSS r,4,1.3,0.396,3.5703217657448847,2.7464013582652957,2.9899365944619367,2.8954574773788684,6.571190221160678,,2.6433214875462965,2.5109280967674077,8.962521598957458,8.739422372707523
SDSS r,4,1.3,0.396,4.3595603150093885,3.3535079346226064,3.642698413754268,3.5638034531538474,8.006856870258392,,3.2099507029696497,3.1042306277169387,10.936998692087744,10.754011146500053
SDSS r,4,1.3,0.396,5.323264228606452,4.0948186373895785,4.439481984489525,4.377165374783621,9.761091028504122,,3.905774336720204,3.8191209531678307,13.34725265005688,13.197770583638276
SDSS r,4,1.3,0.396,6.5,5.0,5.417856253672053,5.365690908681417,11.901975832631164,,4.759571261094588,4.687077938447637,16.286869146229154,16.164903940685424
Pan-STARRS1 r,1,1.0,0.258,0.25,0.25,0.5653749985491593,0.2394061083848871,1.1450173755898405,,0.5653266647599741,0.2384131464902139,1.0533176398477193,0.5611954696431185
Pan-STARRS1 r,1,1.0,0.258,0.30526382501689203,0.30526382501689203,0.5949490606930923,0.29245340183557206,1.2098867957817128,,0.5948365691098622,0.29098901295072044,1.1235081064082948,0.6853474472784383
Pan-STARRS1 r,1,1.0,0.258,0.37274401145577474,0.37274401145577474,0.6363388696779264,0.3607147860430056,1.297597228832715,,0.6360821114076566,0.35877823463241343,1.2206697755694929,0.8386052561401294
Pan-STARRS1 r,1,1.0,0.258,0.4551410507565201,0.4551410507565201,0.6925568406088121,0.44193129995005165,1.4161697341575057,,0.6920778398306154,0.43995999857048546,1.354499300053477,1.0264948368045572
Pan-STARRS1 r,1,1.0,0.258,0.555752392304571,0.555752392304571,0.7656961629409423,0.544682922611915,1.575364285039461,,0.7647156131022237,0.5417823898289831,1.5321354925561133,1.2558728817394011
Pan-STARRS1 r,1,1.0,0.258,0.6786044041487267,0.6786044041487267,0.8593293523956484,0.6655888415887219,1.7855224690726428,,0.8578556390456055,0.6620359236522664,1.7666457179156534,1.5350620855004067
Pan-STARRS1 r,1,1.0,0.258,0.8286135043349969,0.8286135043349969,0.9824882776920261,0.8149079537860281,2.0594762741843557,,0.9802683583386284,0.8110254147162655,2.0689926589666445,1.8759439495592627
Pan-STARRS1 r,1,1.0,0.258,1.0117829111758088,1.0117829111758088,1.1374367557377931,0.9975622122171275,2.413223474802779,,1.135248442189205,0.9932534892578299,2.4534599361102467,2.292877942200985
Pan-STARRS1 r,1,1.0,0.258,1.2354428862090148,1.2354428862090148,1.3390729626217142,1.220346442280247,2.8575927401660084,,1.3352916723568606,1.2150437825564362,2.9355906415077677,2.8025441225540773
Pan-STARRS1 r,1,1.0,0.258,1.508544084136291,1.508544084136291,1.5912646268320276,1.4921090917353532,3.4162593342008103,,1.5863891816180355,1.4853213262567901,3.53428129350567,3.424571981397174
Pan-STARRS1 r,1,1.0,0.258,1.8420157493201934,1.8420157493201934,1.9057826409415146,1.8262240312070814,4.111351611423552,,1.8992495354570438,1.8188355294417053,4.274617375166396,4.184039450327431
Pan-STARRS1 r,1,1.0,0.258,2.2492030935153555,2.2492030935153555,2.2981675142469222,2.232641754838909,4.967932808089518,,2.28902195046572,2.2228611301574572,5.18647070435963,5.112835281712868
