RA,DEC,Target ID,Sky Cell ID,FWHM (arcsec),Sigma PSF,minlevel,Reff (arcsec),Reff_maj (arcsec),Eccentricity,Luminosity
171.50684756278275,-0.872153318832506,39627769486770373,4412593,1.2889099717140198,0.5473496687926656,68.1832,1.592403401614658,1.872989254523227,0.25400464137309897,0.00027458051205054993
237.47818881648223,-0.7283460126974127,39627770589878047,3577496,1.0110450387001038,0.42935129622052104,73.82637,1.0211372863083124,1.033444885870316,0.02338467311782888,1.5770397433673177e-05
325.129794801546,-0.7657535067785392,39627772062078238,3739598,1.0615400075912476,0.4507945351625779,78.02479,1.4866109043842313,1.7278990831609744,0.26314373656343004,0.00021507540689068267
35.28730074916409,-0.4035740285505029,39627773240673668,4066150,1.1641849875450134,0.4943838447450079,103.918465,1.5376752649204921,1.6179175109594417,0.07422273003175561,0.00017655236266218632
179.16539481918605,-0.493505356875846,39627775652400690,3440736,1.105430006980896,0.469432901810706,82.54608,1.1480087618675332,1.229326422061608,0.10717154703506104,9.532651782039137e-05
182.93737786076971,-0.4505070563180344,39627775715315624,3894694,1.1677650213241577,0.4959041451122053,74.273674,1.152261895137581,1.2458214896351338,0.1478920459618217,2.0636610627516677e-05
183.99724901841537,-0.5347901537114899,39627775732094832,3894692,1.1786100268363953,0.5005095949150988,93.1021,1.1157138329672733,1.1774810268554912,0.10152722835988715,3.057422570928214e-05
10.5996668615974,-0.1801870777022862,39627778865237784,3957200,1.1732900142669678,0.4982503935885883,146.71004,1.300490073105954,1.3117097634247497,0.013418393914767957,0.000439800745850721
181.8070317911335,-0.30470597043804,39627781738333439,3440739,1.0617200136184692,0.45087097668412923,78.48515,0.8413446126390205,0.8580343140244424,0.03868141541313941,8.484635101616234e-05
184.25236724047923,-0.1635759195271451,39627781780275286,3894699,1.1842800378799438,0.5029174269086787,76.94479,2.0415127168512024,2.573981433993799,0.14117323398847936,0.0012325208243478092
191.28753330327987,-0.2130233549683013,39627781897716512,3435225,1.1190500259399414,0.47521679132183275,84.091255,1.734050042648955,2.2134121430301175,0.3420684145030406,0.0006376338437886042
212.9482036871831,-0.2733553573698182,39627782258429689,3894994,0.995479017496109,0.4227410156443719,111.362366,1.5212259349030965,1.581241685695668,0.06574505265387831,0.00027058036865095956
215.98463524595203,-0.1584585462912275,39627782308764149,3515606,1.0834599733352661,0.46010308754655865,110.6196,1.1170211242401762,1.1602058861671598,0.07073945968204909,1.4521034025544706e-05
14.066847166757857,0.1101419061351964,39627784963754460,4007327,1.106090009212494,0.46971317895247344,162.3288,1.5945054522161473,1.6855275119496973,0.08879139076364218,0.0008557352547779868
35.59975507947623,0.0868911087763459,39627785324465814,4035489,1.2352499961853027,0.524562375282935,74.40509,0.9921174888326318,0.9930932439125449,0.0021366068331336585,3.489062758144269e-05
177.01057845200836,-0.0956903435247595,39627787698438393,4412709,1.1673199534416199,0.49571514218458157,63.022312,0.972806555064204,1.0418721871196737,0.1277829655007785,2.645152543753257e-05
182.0316514635896,-0.0225524222188115,39627787782324887,3440848,1.1325700283050537,0.48095820769615044,77.175255,1.1778156862188935,1.1783946088954196,0.0,1.2556742103731015e-05
187.695255597197,-0.0408988503442984,39627787874602426,3434524,1.0290100574493408,0.436980337253676,63.197308,0.9567141683696644,1.009795269064476,0.09963225170764722,0.00010431198139565928
221.07872370831785,0.0419013487140573,39627788436637535,3521616,1.0145599842071533,0.43084395614350185,87.55281,5.177302035474682,7.966823292694626,0.470210700153056,0.0021650737126352195
233.01926726648992,0.0218600461995057,39627788637962906,3577732,1.0034800171852112,0.42613872737439795,154.10733,1.4201653147431008,1.60516305655993,0.20874113972345676,0.0004980901817485542
314.91076411596043,-0.0371003307990921,39627790009504316,3748806,1.0533550381660461,0.4473186986788207,85.794655,2.1355105745735843,2.2494200771079593,0.07876840717553779,0.0009178191134051577
129.3085919384331,0.1264286716403103,39627792937125541,4498700,1.3010200262069702,0.5524923354344349,93.012665,1.3031592514166106,1.3227249968433175,0.031760191754652056,0.00011161628225759461
154.823773559089,0.1794186472857796,39627793364944333,4549962,1.1299750208854675,0.4798562095094686,91.46157,0.9851911469216048,1.0013561074406798,0.026249867086441503,1.4051833936843924e-05
237.36686356563547,0.2285776762811674,39627794749066149,3896056,1.0675899982452393,0.45336372963956484,367.68808,7.359814861058065,8.841808283432513,0.2583295242364453,0.005280098369573393
327.43151429071366,0.3629901711207167,39627796259018757,3739833,1.0791299939155579,0.45826431458858036,99.22772,1.058124038788379,1.0654193721635243,0.010043623506967636,2.794329563110446e-05
