Index,TARGETID ID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,Sky Cell ID,FWHM (arcsec),Sigma PSF,minlevel,Reff (arcsec),Reff_maj (arcsec),Eccentricity,Luminosity,processing_index,original_index
285,39627622539333267,36.05795104247557,-6.707559407686901,main,bright,17680,4040236,1.3545700311660767,0.5752329287430852,132.12956,1.0028043323520164,1.0032972330451468,0.0,3.068359756916318e-05,294,294
286,39627622904236468,57.9332469492621,-6.642144490821796,main,bright,23047,4167016,1.2648900151252747,0.5371493324062689,200.04568,1.179103762304295,1.2203435683341783,0.06608415995389294,8.838738730333672e-05,295,295
287,39627623013289333,64.5145326929361,-6.810897406261499,main,dark,22752,4299235,1.1094850301742554,0.47115491161010287,148.4581,0.7477478809834586,0.836177123315475,0.20077821204539403,2.1949580567751994e-05,296,296
288,39627623038455172,66.03013096150187,-6.709739861352381,main,dark,22731,4299241,1.0565099716186523,0.44865847555869887,260.81763,0.9294714857679307,0.9299283417315516,0.0,3.065363257004596e-05,297,297
289,39627623101366781,69.64945003568494,-6.818093876638694,main,bright,22725,4299447,1.1583800315856934,0.4919187069220267,171.47298,0.8931011549639298,0.8950768961096213,0.004558464810542007,4.002591972449906e-05,298,298
290,39627624158334735,133.14667276975368,-6.664514855372362,main,bright,40907,4543271,1.0115100145339966,0.4295487532766872,157.83458,1.3764683039997054,1.419333835892637,0.05960077790131735,7.039158142112077e-05,299,299
291,39627624279970310,140.49517329302952,-6.853274200161592,main,dark,40828,4511811,1.0779800415039062,0.45777597476232557,137.9062,0.8176740340242659,0.8268823653861568,0.022785871238977795,0.00030503435643618377,300,300
292,39627624397408846,147.45405014738049,-6.7202067220848445,main,bright,27143,4509414,1.2054200172424316,0.5118947495737786,183.46129,0.893225919064376,0.8937601508296524,0.0002710475525330436,0.00037155227883464524,301,301
293,39627624456130712,151.06541353394786,-6.8309439818673985,main,bright,26809,4509509,1.1650099754333496,0.49473418484427667,182.26822,0.8399556038876386,0.8403684607990003,0.0,3.37790388997344e-05,302,302
294,39627624581959295,158.53014698535955,-6.847444033338198,main,bright,26823,4536118,1.1845999956130981,0.503053300447648,191.06561,0.8343698779964639,0.8344679158649202,3.2199771017094037e-05,0.004866122337311837,303,303
295,39627624594541434,159.28008458614448,-6.703499324308438,main,bright,26823,4536074,1.0462849736213684,0.44431631870520155,179.68083,1.559568651975458,1.8477778386995383,0.17218261766869414,4.572667876071611e-05,304,304
296,39627624821031708,172.74679044598574,-6.8053076385186175,main,bright,25531,4413062,1.0248500108718872,0.4352137281294536,89.93371,0.7457291273302579,0.7657802607459221,0.051054811715561366,1.0516318130338681e-05,305,305
297,39627624837809732,173.81339753386894,-6.697114434172358,main,bright,25532,4413069,1.1357149481773376,0.48229373219999533,113.808365,0.9421918300994534,0.9685767293648447,0.054025906994695005,1.9352728518976926e-05,306,306
298,39627624917504681,178.7159309714311,-6.648327067142085,main,bright,25547,4413219,1.177304983139038,0.49995539388385185,243.14606,1.0789135282403124,1.0838730571637654,0.008315168682046958,2.5434945600566308e-05,307,307
299,39627625127215466,191.0767998708091,-6.728106732657197,main,bright,26124,3444297,0.9954510033130646,0.42272911911618344,145.5265,0.925931526977952,0.9482293617178786,0.0471534253744218,3.618613710523154e-05,308,308
300,39627625500509374,213.48298018256224,-6.867252477060877,main,bright,25868,3514241,1.1799800395965576,0.5010913857670382,206.74934,0.8759777286808781,0.8863878275822034,0.023198961735543255,4.267945948276986e-05,309,309
301,39627625521479705,214.6928528034231,-6.803844898415928,main,bright,25862,3514238,1.1120100021362305,0.4722271684763136,214.936,0.9304621872525396,0.9633989185519604,0.04524301208174786,4.7468108073396695e-05,310,310
302,39627625521483172,214.86058841913928,-6.800524716561635,main,bright,25863,3859591,1.147450029850006,0.4872771625463742,174.40593,0.7719411790684865,0.8391579725745418,0.14549354412502802,4.823318014745157e-05,311,311
