Index,processing_index,original_index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,fits_downloaded,panstarrs_success,galaxy_size_success,fully_processed,failure_reason
88,88,88,39627519829218825,322.8139963200302,-11.139375561664112,main,bright,48978,True,True,True,True,
89,89,89,39627520571608491,7.784015947645536,-11.123863483255024,main,dark,17234,True,True,True,True,
90,90,90,39627521414662925,58.86607929555615,-11.026482015058964,main,bright,22688,True,True,True,True,
91,91,91,39627525680269800,317.3798029416486,-11.015569763827568,main,bright,48994,True,True,True,True,
92,92,92,39627525952902120,334.01418298915996,-10.9424039706078,main,dark,18578,True,True,True,True,
93,93,93,39627526078729415,341.60903743534755,-11.047995070054371,main,dark,18507,True,True,True,True,
94,94,94,39627526112285728,343.7170439397206,-10.94373579324419,main,bright,18509,True,True,True,True,
95,95,95,39627527018258450,38.631088353258846,-10.815942913446229,main,dark,36750,True,True,True,True,
96,96,96,39627527341215099,58.132509022428046,-10.839515146535923,main,bright,22690,True,True,True,True,
97,97,97,39627527446072055,64.45044392542343,-10.758958667034848,main,dark,22674,True,False,True,True,
98,98,98,39627527508988302,68.36313621497833,-10.839287555175089,main,dark,22589,True,True,True,True,
99,99,99,39627532407932381,5.142926885964747,-10.453410519868278,main,dark,17230,True,True,True,True,
100,100,100,39627533364233933,63.03261765418154,-10.379288893155246,main,bright,22680,True,True,True,True,
101,101,101,39627538728749007,27.731467986576295,-10.279401011447082,main,dark,17487,True,True,True,True,
102,102,102,39627539060104450,47.97039252428611,-10.35634325521476,main,bright,36707,True,True,True,True,
103,103,103,39627539139793007,52.7254567170084,-10.353292547562368,main,dark,36690,True,True,True,True,
104,104,104,39627543938074536,343.09407912023437,-10.291772682883773,main,bright,18511,True,True,True,True,
105,105,105,39627544995045039,47.111758617165215,-10.044370174906067,main,dark,36713,True,True,True,True,
106,106,106,39627545334781033,67.62148599214136,-9.889771669847548,main,dark,22591,True,True,True,True,
107,107,107,39627546844725562,158.72445797597885,-9.928104349424018,main,bright,26728,True,True,True,True,
108,108,108,39627549717824069,332.38553727842924,-9.92522701819187,main,bright,18586,True,True,True,True,
109,109,109,39627550888039256,43.262284864983656,-9.6971359425879,main,bright,36758,True,True,True,True,
110,110,110,39627552804833089,159.03145045122542,-9.685405106085131,main,bright,26729,True,True,True,True,
111,111,111,39627555619209924,329.10224734337817,-9.848533204874258,main,bright,18595,True,True,True,True,
112,112,112,39627555950560138,349.15511970461205,-9.775429759652225,main,bright,17322,True,True,True,True,
113,113,113,39627557032689778,54.43441201681093,-9.388073064074607,main,bright,36694,True,True,True,True,
114,114,114,39627557141746631,61.25089289887102,-9.613507772132923,main,bright,22693,True,True,True,True,
115,115,115,39627557179491434,63.34183776238095,-9.48226429135742,main,dark,22683,True,True,True,True,
116,116,116,39627557183685007,63.556765146667885,-9.515795585579124,main,dark,22681,True,False,True,True,
117,117,117,39627559436026237,199.50844889553295,-9.452731504419098,main,bright,25753,True,True,True,True,
118,118,118,39627561474457692,322.533844303068,-9.40147402258336,main,dark,48985,True,True,True,True,
119,119,119,39627562644673703,33.32143009420611,-9.193772388730782,main,dark,17664,True,True,True,True,
120,120,120,39627565039617369,177.81807358325068,-9.31420869907204,main,bright,25494,True,True,True,True,
121,121,121,39627565412913795,200.4349214640776,-9.140650000773766,main,bright,25750,True,True,True,True,
122,122,122,39627567237436142,310.52844065900604,-9.230986796831164,main,bright,49051,True,True,True,True,
123,123,123,39627567434564783,322.3367663639021,-9.316058384438362,main,bright,48987,True,True,True,True,
124,124,124,39627567757527830,341.902620616743,-9.163811366924492,main,bright,18535,True,True,True,True,
125,125,125,39627567770109409,342.6107763310454,-9.169767912743776,main,bright,18533,True,True,True,True,
126,126,126,39627568231481588,10.374872126786917,-9.10787972164924,main,dark,17239,True,True,True,True,
127,127,127,39627569028399693,58.41890905891785,-8.950386282627596,main,bright,22700,True,True,True,True,
128,128,128,39627569305226284,75.29290883926335,-8.966723782857176,main,dark,22620,True,True,True,True,
129,129,129,39627570848729372,168.22300494186294,-8.881040677813893,main,bright,26880,True,True,True,True,
130,130,130,39627571175884121,187.90966438424252,-9.091449825187969,main,bright,25436,True,True,True,True,
131,131,131,39627571398184828,201.4594360042379,-9.055302337753815,main,bright,25751,True,True,True,True,
132,132,132,39627573205929648,310.31113076961617,-9.11333857714524,main,bright,49051,True,True,True,True,
133,133,133,39627573256264014,313.4640308502618,-9.11197796997662,main,bright,49047,True,True,True,True,
134,134,134,39627573340145426,318.35202624359613,-8.965655721507716,main,bright,49004,True,True,True,True,
135,135,135,39627573935739169,354.34424967944057,-9.063141540646704,main,dark,17328,True,True,True,True,
136,136,136,39627574174812844,8.734239064794004,-8.805815186102373,main,dark,17244,True,False,True,True,
137,137,137,39627574493579714,27.868566518333736,-8.785307744909304,main,dark,17520,True,True,True,True,
138,138,138,39627574845902463,49.19499245736135,-8.836661489904,main,dark,36711,True,True,True,True,
139,139,139,39627574946563866,55.20724254719224,-8.780445072404266,main,bright,36695,True,True,True,True,
140,140,140,39627575164668193,68.37099482222125,-8.671288502092997,main,dark,22721,True,True,True,True,
141,141,141,39627575173054562,68.76712045467687,-8.716542738959522,main,bright,22635,True,True,True,True,
142,142,142,39627575210808893,71.25298509054407,-8.754343378842044,main,bright,22637,True,True,True,True,
143,143,143,39627575214998349,71.32024118283894,-8.642746751951366,main,bright,22637,True,True,True,True,
144,144,144,39627576666231511,158.99345328335363,-8.73152488717522,main,bright,26731,True,True,True,True,
145,145,145,39627576670423081,159.11292289145598,-8.707308761472305,main,bright,26731,True,True,True,True,
146,146,146,39627576729144028,162.68386719513367,-8.729405972671044,main,bright,26738,True,True,True,True,
147,147,147,39627576737533346,163.21183693952264,-8.644493300169417,main,bright,26736,True,True,True,True,
148,148,148,39627576783668164,165.89126440592815,-8.64276261988452,main,bright,26716,True,True,True,True,
149,149,149,39627577358287165,200.48656085457824,-8.653372886587485,main,bright,25757,True,True,True,True,
150,150,150,39627579463833834,327.61735238048567,-8.769562619880771,main,bright,18603,True,True,True,True,
151,151,151,39627579539328486,332.1068728753548,-8.778620804767902,main,bright,18608,True,True,False,False,Galaxy size processing returned None
152,152,152,39627579711295407,342.5016132679442,-8.823148898031484,main,bright,18546,True,True,True,True,
153,153,153,39627580487247362,29.266894699029812,-8.392319622414947,main,bright,17521,True,True,True,True,
154,154,154,39627580516600105,30.865131841096545,-8.608303079263036,main,bright,17500,True,True,True,True,
155,155,155,39627582320150141,139.41828935703614,-8.409950663171694,main,bright,40818,True,True,True,True,
156,156,156,39627582320150141,139.41828935703614,-8.409950663171694,main,dark,40818,True,True,True,True,
157,157,157,39627582659891447,159.98075261880035,-8.427255883785527,main,bright,26734,True,True,True,True,
158,158,158,39627582760555747,166.09038539083429,-8.492805912432397,main,bright,26717,True,True,True,True,
159,159,159,39627582810883045,168.94001220455323,-8.422393748360625,main,bright,26881,True,True,True,True,
160,160,160,39627582911550192,175.18769650958612,-8.422119863930096,main,bright,25521,True,True,True,True,
161,161,161,39627583167401339,190.517417553324,-8.553735153491639,main,bright,26114,True,True,True,True,
162,162,162,39627583351951119,201.6296465319215,-8.39790986692342,main,bright,25794,True,True,True,True,
163,163,163,39627583356142891,201.7630144959823,-8.45339560072187,main,bright,25794,True,True,True,True,
164,164,164,39627586090830798,6.504179955417701,-8.337774606934468,main,dark,17265,True,True,True,True,
165,165,165,39627586824834511,50.65208564487001,-8.317720940463325,main,bright,36723,True,True,True,True,
166,166,166,39627588359948041,142.9803289689107,-8.27366503349683,main,bright,40798,True,True,True,True,
167,167,167,39627588729045482,165.12732008925502,-8.273764936039202,main,bright,26718,True,True,True,True,
168,168,168,39627588938761564,177.79607293036037,-8.241602010309192,main,bright,25501,True,True,True,True,
169,169,169,39627589186227171,192.7381929335978,-8.129913542417679,main,bright,26116,True,True,True,True,
170,170,170,39627591333713592,322.0917915312066,-8.210784013199548,main,bright,49012,True,True,True,True,
171,171,171,39627591807668401,350.61660234971686,-8.145810189747776,main,bright,17326,True,True,True,True,
172,172,172,39627591912522526,356.75837295687035,-8.23690102555804,main,bright,17310,True,True,True,True,
173,173,173,39627592487144023,31.33798483502221,-8.050125905740423,main,bright,17501,True,True,True,True,
174,174,174,39627592487144023,31.33798483502221,-8.050125905740423,main,dark,17501,True,True,True,True,
175,175,175,39627592487144023,31.33798483502221,-8.050125905740423,sv1,bright,17501,True,True,True,True,
176,176,176,39627592919157485,57.34347058728336,-8.041975938114472,main,bright,23044,True,True,True,True,
177,177,177,39627592940128496,58.59073161081601,-8.085182730606636,main,dark,22702,True,True,True,True,
178,178,178,39627592952712193,59.35979835009622,-7.973385858388712,main,bright,22703,True,True,True,True,
179,179,179,39627592952712193,59.35979835009622,-7.973385858388712,main,dark,22703,True,True,True,True,
180,180,180,39627593137260407,70.41695833701625,-8.024745314463786,main,dark,22639,True,True,True,True,
181,181,181,39627593141454088,70.64459026343755,-8.055053639716029,main,bright,22639,True,True,True,True,
182,182,182,39627593170813140,72.3601846959895,-8.085503188694085,main,dark,22642,True,True,True,True,
183,183,183,39627594190029194,133.62600131176671,-8.035764360460943,main,dark,40904,True,False,True,True,
184,184,184,39627594307471331,140.74806081222863,-8.111427698671692,main,dark,40819,True,True,True,True,
185,185,185,39627594399749264,146.462281066722,-7.996368814834635,main,bright,27139,True,True,True,True,
186,186,186,39627594651403260,161.38574366724467,-7.884718130017853,main,bright,26744,True,True,True,True,
187,187,187,39627594655596954,161.6176375715665,-8.098614096049959,main,bright,26744,True,True,True,True,
188,188,188,39627594835953339,172.51989534150684,-7.891044058185302,main,bright,25528,True,True,True,True,
189,189,189,39627594873702189,174.78894628675033,-7.964900517992637,main,bright,25523,True,False,True,True,
190,190,190,39627594936615924,178.52650025647358,-7.976738338034707,main,dark,25544,True,True,True,True,
191,191,191,39627595188278489,193.83901390847683,-8.036383738204117,main,bright,25775,True,False,True,True,
192,192,192,39627595410571744,206.99405381325695,-8.05442051204856,main,bright,25720,True,True,True,True,
193,193,193,39627595410571744,206.99405381325695,-8.05442051204856,main,dark,25720,True,True,True,True,
194,194,194,39627597172181198,312.92319550945143,-8.051983695213927,main,bright,49053,True,True,True,True,
195,195,195,39627597633553925,340.66522125166074,-7.963622677582004,main,bright,18543,True,True,True,True,
196,196,196,39627598485000297,31.884354978763465,-7.799257472929481,sv1,bright,17672,True,True,True,True,
197,197,197,39627598531135651,34.60262863169572,-7.668638844170984,main,dark,17668,True,True,True,True,
198,198,198,39627598598246379,38.69233012035719,-7.82063529053984,main,dark,36786,True,True,True,True,
