Index,TARGETID ID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,Sky Cell ID,FWHM (arcsec),Sigma PSF,minlevel,Reff (arcsec),Reff_maj (arcsec),Eccentricity,Luminosity,processing_index
1987,39633228239208648,171.69510907188115,48.830650104355854,main,bright,5606,4462227,1.140120029449463,0.4841643979782236,213.35039,1.1397819393347506,1.1403421675764835,1.1102230246251565e-16,9.675132043253392e-05,6043
1988,39633228553783561,200.2774487739678,48.82224869055171,main,bright,11035,3884835,1.105720043182373,0.46955606884509965,209.12523,0.9663326747985919,1.0003650609867656,0.06903660283148871,4.346557481855409e-05,6044
1989,39633228562173884,201.1318384456716,48.78370624341528,main,bright,11035,3884936,1.1168700456619263,0.4742910389346746,157.6563,0.733723951190227,0.7390416773107502,0.013753497163496609,2.884257950110901e-05,6045
1990,39633228566365292,201.27624839212177,48.788752063927255,main,bright,11033,3884936,1.1168700456619263,0.4742910389346746,159.95425,0.8720864145757026,0.9102455478038128,0.08044070444068652,8.112761726745693e-05,6046
1991,39633228570558665,201.5681864140413,48.820071467465155,main,bright,11036,3884935,1.2290300130844116,0.52192099166043,128.7688,1.1472763159563877,1.1525080964897778,0.007354929438116109,8.969152436308345e-05,6047
1992,39633228620892751,206.4036354066336,48.810422544599,main,bright,10731,3884928,1.1699199676513672,0.4968192665592801,132.23595,0.8242854291922422,0.8310209480290661,0.015343220204201202,3.1600929019938895e-05,6048
1993,39633228755108045,218.21987788481903,48.82179646914379,main,bright,11392,3559457,1.0102100372314453,0.4289967037452189,147.29778,0.9721342810138305,0.9719076452606932,0.0002655636809352213,5.2602258283867874e-05,6049
1994,39633228763498460,219.1562244638461,48.76063832280314,main,bright,11306,3559653,1.047349989414215,0.4447685892704594,175.62303,0.746471211787031,0.7914017518928123,0.10916643623505662,4.0261664356867994e-05,6050
1995,39633229434585315,279.46547196633344,48.858449156659574,main,bright,15068,3729858,1.065915048122406,0.4526524438127062,270.67032,0.9382413604565141,0.9682586013737912,0.05972779711718745,8.142707157383772e-05,6052
1996,39633231930196159,145.0775703241106,49.055431313509416,main,bright,5868,4600346,1.2298099994659424,0.5222522213793109,213.18764,0.8244767765972394,1.0032161346139727,0.3241252605764605,3.758082185571956e-05,6054
1997,39633232093776774,160.20072330012007,48.87903512565066,main,bright,5927,4598990,1.0499300360679626,0.44586423420485344,248.2929,0.7807702630145249,0.873129573226116,0.20118828566575653,6.290018599242197e-05,6055
1998,39633232106358532,161.21703975659136,48.90626254667246,main,bright,5936,4598989,1.2224950194358826,0.5191458353752103,237.48096,2.7648534787501813,2.779993513766851,0.03076019550354403,0.0002222648819720504,6056
1999,39633232131526013,163.6619297532482,48.9178170665384,sv1,bright,5916,4598985,1.0736899971961975,0.4559541606849563,230.54404,0.8500157730587876,0.8622715960229846,0.02900603383345024,3.946314900482079e-05,6057
2000,39633232160884301,166.1464123158064,48.9947765266468,main,bright,5911,4462127,1.1153550148010254,0.47364766456553853,275.0833,2.3871173847405336,3.4249407103609917,0.47036999786902056,0.0002732886975750765,6058
2001,39633232320269213,180.7150376777553,49.05886680664256,main,bright,10987,3484290,1.2474550008773804,0.5297453635617345,148.17233,1.279086059537095,1.2914916377963328,0.014057921169903898,7.137644037114236e-05,6059
2002,39633232362212987,184.5540721696497,48.94275003972151,main,bright,10983,3884717,1.2664999961853027,0.5378330284124353,212.60373,0.8988396269579958,0.8992814266798833,0.0,6.346053896035613e-05,6060
2003,39633232559342967,202.14883558167645,48.97032707162782,main,bright,11036,3884935,1.2134900093078613,0.5153217596684389,155.83372,0.7916157312925495,0.8285928827819588,0.08715900945240096,3.2433895951310924e-05,6061
2004,39633232739699689,218.6251611346184,48.96582403122969,main,bright,11392,3559456,1.0752899646759033,0.4566336043150893,149.98413,1.0073112407251739,1.0078063566642792,0.0,6.116428972951601e-05,6062
