Index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,objName,gPSFMag,rPSFMag,iPSFMag,zPSFMag,yPSFMag,gPSFMagErr,rPSFMagErr,iPSFMagErr,zPSFMagErr,yPSFMagErr,gKronMag,rKronMag,iKronMag,zKronMag,yKronMag,gKronMagErr,rKronMagErr,iKronMagErr,zKronMagErr,yKronMagErr,gKronRad,rKronRad,iKronRad,zKronRad,yKronRad,gexpTime,rexpTime,iexpTime,zexpTime,yexpTime,distance,Index,processing_index,original_index
10,39628019597316729,14.18548046553481,9.722221131193816,main,bright,18348,PSO J014.1855+09.7222,21.87459945678711,20.22909927368164,19.372600555419922,18.996999740600586,18.861799240112305,0.04390899837017059,0.012121000327169895,0.006769000086933374,0.011184999719262123,0.019314000383019447,21.51919937133789,19.909400939941406,18.99049949645996,18.652700424194336,18.507699966430664,0.05631700158119202,0.01634800061583519,0.009704000316560268,0.016286000609397888,0.026327000930905342,2.8235299587249756,2.853060007095337,3.486690044403076,3.11299991607666,2.8233799934387207,903.0,920.0,1260.0,870.0,920.0,0.005642526849587708,2909,2909,2909
11,39628019597316729,14.18548046553481,9.722221131193816,main,dark,18348,PSO J014.1855+09.7222,21.87459945678711,20.22909927368164,19.372600555419922,18.996999740600586,18.861799240112305,0.04390899837017059,0.012121000327169895,0.006769000086933374,0.011184999719262123,0.019314000383019447,21.51919937133789,19.909400939941406,18.99049949645996,18.652700424194336,18.507699966430664,0.05631700158119202,0.01634800061583519,0.009704000316560268,0.016286000609397888,0.026327000930905342,2.8235299587249756,2.853060007095337,3.486690044403076,3.11299991607666,2.8233799934387207,903.0,920.0,1260.0,870.0,920.0,0.005642526849587708,2910,2910,2910
12,39628019744114116,22.90511114873717,9.796533852016642,main,bright,18282,PSO J022.9051+09.7965,21.562599182128906,19.91670036315918,19.292499542236328,19.01650047302246,18.813400268554688,0.037154000252485275,0.009081000462174416,0.00877700001001358,0.009769000113010406,0.019499000161886215,21.234100341796875,19.72610092163086,19.162700653076172,18.75629997253418,18.66349983215332,0.04617900028824806,0.012974999845027924,0.012625999748706818,0.013543999753892422,0.02817399986088276,2.7841598987579346,2.924649953842163,2.625349998474121,3.038830041885376,2.421570062637329,817.0,1120.0,1440.0,840.0,900.0,0.004679272884698107,2911,2911,2911
13,39628019773474172,24.659371381626027,9.74559741683972,main,dark,18281,PSO J024.6594+09.7456,22.227800369262695,20.388999938964844,19.744199752807617,19.29560089111328,19.066999435424805,0.0763079971075058,0.020394999533891678,0.008574999868869781,0.01385900005698204,0.024833999574184418,,,18.968000411987305,19.252700805664062,18.4419002532959,,,0.014639000408351421,0.017833000048995018,0.03276199847459793,,,4.809879779815674,2.194540023803711,3.291330099105835,817.0,720.0,1125.0,750.0,930.0,0.04412451851350988,2912,2912,2912
14,39628020004164408,38.76526782184696,9.861297859180011,main,dark,165,PSO J038.7653+09.8613,22.57200050354004,20.5669002532959,19.900999069213867,19.4867000579834,19.2992000579834,0.12610000371932983,0.025465000420808792,0.010812999680638313,0.01534000039100647,0.02439800091087818,22.6427001953125,20.1919002532959,19.292499542236328,19.02039909362793,18.833099365234375,0.17273899912834167,0.031032999977469444,0.015730999410152435,0.02019299939274788,0.032388001680374146,2.1359899044036865,3.030319929122925,3.8118300437927246,2.9414799213409424,2.818190097808838,602.0,560.0,1215.0,630.0,640.0,0.0402208325296167,2913,2913,2913
15,39628021400866938,123.12811650660348,9.730717268825272,main,dark,22357,PSO J123.1281+09.7307,21.968700408935547,20.352699279785156,20.05419921875,19.628799438476562,19.21030044555664,0.055034998804330826,0.016642000526189804,0.01243400014936924,0.017542000859975815,0.025381000712513924,,,,,18.889799118041992,,,,,0.035259999334812164,,,,,2.5780999660491943,980.0,982.0,1335.0,750.0,710.0,0.08167982663354248,2914,2914,2914
16,39628021837072659,149.42720624035027,9.680769914234086,main,bright,27558,PSO J149.4272+09.6808,20.852500915527344,19.524900436401367,18.939599990844727,18.690099716186523,18.548599243164062,0.01874700002372265,0.006874000187963247,0.004004999995231628,0.007315999828279018,0.013907999731600285,20.673099517822266,19.225400924682617,18.586000442504883,18.395299911499023,18.293800354003906,0.024746999144554138,0.009542999789118767,0.00634900014847517,0.010638999752700329,0.020747000351548195,2.868540048599243,3.604330062866211,4.201419830322266,3.3334100246429443,2.8420000076293945,808.0,952.0,1954.0,676.0,800.0,0.02026545357331686,2915,2915,2915
17,39628021866436427,151.34873362831797,9.724043391867871,main,bright,27557,PSO J151.3487+09.7240,21.694700241088867,20.316699981689453,19.664100646972656,19.44569969177246,19.25029945373535,0.044950999319553375,0.01368200033903122,0.008434999734163284,0.012769999913871288,0.02784699946641922,21.547399520874023,20.20479965209961,19.59830093383789,19.4507999420166,19.058500289916992,0.057402998208999634,0.01987599954009056,0.014104999601840973,0.018511999398469925,0.041836999356746674,2.5669100284576416,2.8025400638580322,2.9887399673461914,2.5426900386810303,2.544840097427368,912.0,992.0,2089.0,856.0,740.0,0.006739154327402691,2916,2916,2916
18,39628022646571978,198.28954958450703,9.70334091107258,main,bright,26523,PSO J198.2895+09.7033,21.99370002746582,20.311899185180664,19.666000366210938,19.31060028076172,19.12380027770996,0.07468099892139435,0.01498700026422739,0.009963000193238258,0.009916000068187714,0.019548000767827034,21.752599716186523,19.954099655151367,18.964000701904297,18.628799438476562,18.550899505615234,0.0916839987039566,0.019088000059127808,0.013628000393509865,0.013581999577581882,0.02375900000333786,2.902329921722412,3.225909948348999,4.16841983795166,4.033060073852539,3.327270030975342,817.0,952.0,1485.0,1020.0,1170.0,0.014150533924628804,2917,2917,2917
19,39628022667546611,199.72829875661793,9.640775010218924,main,dark,26524,PSO J199.7283+09.6408,22.68600082397461,20.917999267578125,20.118499755859375,19.80389976501465,19.543500900268555,0.0976869985461235,0.020161999389529228,0.011717000044882298,0.017683999612927437,0.028046999126672745,22.72369956970215,20.698299407958984,19.784799575805664,19.42169952392578,19.21780014038086,0.12635700404644012,0.026928000152111053,0.0169879999011755,0.023442000150680542,0.03613600134849548,2.0060300827026367,2.787600040435791,3.0027499198913574,2.595940113067627,2.550990104675293,688.0,784.0,900.0,510.0,780.0,0.005921338732037665,2918,2918,2918
20,39628022759822294,205.3214572444841,9.800120968544562,main,bright,26476,PSO J205.3215+09.8001,20.947399139404297,19.87350082397461,19.39859962463379,19.18199920654297,19.05820083618164,0.020865999162197113,0.012803999707102776,0.009995999746024609,0.010590000078082085,0.02138100005686283,20.892499923706055,19.853700637817383,19.33180046081543,19.228700637817383,18.9325008392334,0.02943499945104122,0.018007000908255577,0.01640399917960167,0.016061000525951385,0.02998100034892559,2.595560073852539,2.821120023727417,2.8137199878692627,2.496490001678467,2.5358400344848633,774.0,832.0,990.0,840.0,800.0,0.0024531124142966355,2919,2919,2919
21,39628022797567405,207.466200104344,9.784665458062506,main,bright,26469,PSO J207.4662+09.7847,20.039899826049805,19.1697998046875,18.674999237060547,18.408000946044922,18.19809913635254,0.011003999970853329,0.00827100034803152,0.00470399996265769,0.006221000105142593,0.010502999648451805,19.815799713134766,18.90290069580078,18.42329978942871,18.162200927734375,17.934099197387695,0.014798999764025211,0.010886999778449535,0.00687299994751811,0.00913199968636036,0.015286999754607677,3.10506010055542,3.41267991065979,3.557950019836426,3.2817599773406982,3.1236000061035156,473.0,592.0,855.0,780.0,830.0,0.01450177852274206,2920,2920,2920
22,39628022860481531,211.22869868018057,9.718547727100384,main,bright,26454,PSO J211.2287+09.7185,22.75659942626953,20.387399673461914,19.749000549316406,19.469900131225586,19.26059913635254,0.1559309959411621,0.017079999670386314,0.008286000229418278,0.01775199919939041,0.028658000752329826,,19.98080062866211,19.330900192260742,18.855100631713867,,,0.0219969991594553,0.01206399966031313,0.025679999962449074,,,3.098180055618286,3.459130048751831,3.8411600589752197,,921.0,920.0,1594.0,840.0,970.0,0.06645202294921032,2921,2921,2921
23,39628022919202498,214.8030535735824,9.841231102674188,main,bright,8362,PSO J214.8031+09.8412,19.224300384521484,18.337799072265625,17.961299896240234,17.731300354003906,17.475200653076172,0.004941000137478113,0.0027630000840872526,0.002216000109910965,0.0030869999900460243,0.00521400012075901,18.328399658203125,17.255699157714844,16.851900100708008,16.585899353027344,16.35379981994629,0.005400000140070915,0.002947000088170171,0.002604000037536025,0.003449999960139394,0.006529000122100115,5.730030059814453,6.709169864654541,6.333670139312744,6.130390167236328,5.958950042724609,1025.0,912.0,1343.0,840.0,1140.0,0.2305564900622689,2922,2922,2922
